"No.","Time","Source","Src Port","Destination","Des Port","Protocol","Length","Info"
"19951","2023-09-10 18:19:19.488476","14.0.0.120","37148","10.0.0.112","8080","HTTP","405","GET / HTTP/1.1 "
"19966","2023-09-10 18:19:19.499302","10.0.0.112","8080","14.0.0.120","37148","HTTP","990","HTTP/1.1 200 OK  (text/html)"
"19969","2023-09-10 18:19:19.564053","14.0.0.120","37148","10.0.0.112","8080","HTTP","352","GET /tomcat.css HTTP/1.1 "
"19974","2023-09-10 18:19:19.565830","10.0.0.112","8080","14.0.0.120","37148","HTTP","82","HTTP/1.1 200 OK  (text/css)"
"19976","2023-09-10 18:19:19.566320","14.0.0.120","37148","10.0.0.112","8080","HTTP","359","GET /tomcat.png HTTP/1.1 "
"19983","2023-09-10 18:19:19.568321","10.0.0.112","8080","14.0.0.120","37148","HTTP","1053","HTTP/1.1 200 OK  (PNG)"
"19985","2023-09-10 18:19:19.585294","14.0.0.120","37148","10.0.0.112","8080","HTTP","369","GET /bg-nav.png HTTP/1.1 "
"19986","2023-09-10 18:19:19.585581","14.0.0.120","37162","10.0.0.112","8080","HTTP","376","GET /asf-logo-wide.svg HTTP/1.1 "
"19995","2023-09-10 18:19:19.586785","14.0.0.120","37178","10.0.0.112","8080","HTTP","371","GET /bg-upper.png HTTP/1.1 "
"19998","2023-09-10 18:19:19.586891","14.0.0.120","37190","10.0.0.112","8080","HTTP","372","GET /bg-button.png HTTP/1.1 "
"20002","2023-09-10 18:19:19.587082","14.0.0.120","37204","10.0.0.112","8080","HTTP","372","GET /bg-middle.png HTTP/1.1 "
"20003","2023-09-10 18:19:19.587083","10.0.0.112","8080","14.0.0.120","37148","HTTP","247","HTTP/1.1 200 OK  (PNG)"
"20039","2023-09-10 18:19:19.590586","10.0.0.112","8080","14.0.0.120","37162","HTTP/XML","535","HTTP/1.1 200 OK "
"20043","2023-09-10 18:19:19.599387","10.0.0.112","8080","14.0.0.120","37178","HTTP","501","HTTP/1.1 200 OK  (PNG)"
