"No.","Time","Source","Src Port","Destination","Des Port","Protocol","Length","Info"
"1138","2023-09-10 18:18:52.962219","14.0.0.120","51985","10.0.0.112","8080","TCP","60","51985  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1143","2023-09-10 18:18:52.962417","10.0.0.112","8080","14.0.0.120","51985","TCP","60","8080  >  51985 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"1148","2023-09-10 18:18:52.962518","14.0.0.120","51985","10.0.0.112","8080","TCP","60","51985  >  8080 [RST] Seq=1 Win=0 Len=0"
"19948","2023-09-10 18:19:19.487882","14.0.0.120","37148","10.0.0.112","8080","TCP","74","37148  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=429617984 TSecr=0 WS=128"
"19949","2023-09-10 18:19:19.488124","10.0.0.112","8080","14.0.0.120","37148","TCP","74","8080  >  37148 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3538256937 TSecr=429617984 WS=128"
"19950","2023-09-10 18:19:19.488229","14.0.0.120","37148","10.0.0.112","8080","TCP","66","37148  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=429617985 TSecr=3538256937"
"19951","2023-09-10 18:19:19.488476","14.0.0.120","37148","10.0.0.112","8080","HTTP","405","GET / HTTP/1.1 "
"19952","2023-09-10 18:19:19.488583","10.0.0.112","8080","14.0.0.120","37148","TCP","66","8080  >  37148 [ACK] Seq=1 Ack=340 Win=64896 Len=0 TSval=3538256937 TSecr=429617985"
"19953","2023-09-10 18:19:19.498887","10.0.0.112","8080","14.0.0.120","37148","TCP","1514","8080  >  37148 [ACK] Seq=1 Ack=340 Win=64896 Len=1448 TSval=3538256948 TSecr=429617985 [TCP PDU reassembled in 19966]"
"19954","2023-09-10 18:19:19.498897","10.0.0.112","8080","14.0.0.120","37148","TCP","1514","8080  >  37148 [ACK] Seq=1449 Ack=340 Win=64896 Len=1448 TSval=3538256948 TSecr=429617985 [TCP PDU reassembled in 19966]"
"19955","2023-09-10 18:19:19.498899","10.0.0.112","8080","14.0.0.120","37148","TCP","1514","8080  >  37148 [ACK] Seq=2897 Ack=340 Win=64896 Len=1448 TSval=3538256948 TSecr=429617985 [TCP PDU reassembled in 19966]"
"19956","2023-09-10 18:19:19.498902","14.0.0.120","37148","10.0.0.112","8080","TCP","66","37148  >  8080 [ACK] Seq=340 Ack=1449 Win=64128 Len=0 TSval=429617995 TSecr=3538256948"
"19957","2023-09-10 18:19:19.498985","10.0.0.112","8080","14.0.0.120","37148","TCP","1514","8080  >  37148 [ACK] Seq=4345 Ack=340 Win=64896 Len=1448 TSval=3538256948 TSecr=429617985 [TCP PDU reassembled in 19966]"
"19958","2023-09-10 18:19:19.498988","10.0.0.112","8080","14.0.0.120","37148","TCP","1514","8080  >  37148 [PSH, ACK] Seq=5793 Ack=340 Win=64896 Len=1448 TSval=3538256948 TSecr=429617985 [TCP PDU reassembled in 19966]"
"19959","2023-09-10 18:19:19.498989","14.0.0.120","37148","10.0.0.112","8080","TCP","66","37148  >  8080 [ACK] Seq=340 Ack=4345 Win=62592 Len=0 TSval=429617996 TSecr=3538256948"
"19960","2023-09-10 18:19:19.499065","14.0.0.120","37148","10.0.0.112","8080","TCP","66","37148  >  8080 [ACK] Seq=340 Ack=7241 Win=60672 Len=0 TSval=429617996 TSecr=3538256948"
"19961","2023-09-10 18:19:19.499072","10.0.0.112","8080","14.0.0.120","37148","TCP","1514","8080  >  37148 [ACK] Seq=7241 Ack=340 Win=64896 Len=1448 TSval=3538256948 TSecr=429617985 [TCP PDU reassembled in 19966]"
"19962","2023-09-10 18:19:19.499154","14.0.0.120","37148","10.0.0.112","8080","TCP","66","37148  >  8080 [ACK] Seq=340 Ack=8689 Win=59648 Len=0 TSval=429617996 TSecr=3538256948"
"19963","2023-09-10 18:19:19.499155","10.0.0.112","8080","14.0.0.120","37148","TCP","378","8080  >  37148 [PSH, ACK] Seq=8689 Ack=340 Win=64896 Len=312 TSval=3538256948 TSecr=429617985 [TCP PDU reassembled in 19966]"
"19964","2023-09-10 18:19:19.499299","10.0.0.112","8080","14.0.0.120","37148","TCP","1514","8080  >  37148 [ACK] Seq=9001 Ack=340 Win=64896 Len=1448 TSval=3538256948 TSecr=429617996 [TCP PDU reassembled in 19966]"
"19965","2023-09-10 18:19:19.499301","14.0.0.120","37148","10.0.0.112","8080","TCP","66","37148  >  8080 [ACK] Seq=340 Ack=9001 Win=64128 Len=0 TSval=429617996 TSecr=3538256948"
"19966","2023-09-10 18:19:19.499302","10.0.0.112","8080","14.0.0.120","37148","HTTP","990","HTTP/1.1 200 OK  (text/html)"
"19967","2023-09-10 18:19:19.499303","14.0.0.120","37148","10.0.0.112","8080","TCP","66","37148  >  8080 [ACK] Seq=340 Ack=10449 Win=63488 Len=0 TSval=429617996 TSecr=3538256948"
"19968","2023-09-10 18:19:19.499382","14.0.0.120","37148","10.0.0.112","8080","TCP","66","37148  >  8080 [ACK] Seq=340 Ack=11373 Win=62592 Len=0 TSval=429617996 TSecr=3538256948"
"19969","2023-09-10 18:19:19.564053","14.0.0.120","37148","10.0.0.112","8080","HTTP","352","GET /tomcat.css HTTP/1.1 "
